"CODIGO_TUSS";"Termo_TUSS";"Grau_Equivalencia";"CODIGO_SUS";"PROCEDIMENTO_SUS"
"30721105";"Coto de amputação punho e antebraço - revisão";"2";"408020296";"REVISÃO CIRÚGICA DE COTO DE AMPUTAÇÃO DO MEMBRO SUPERIOR (EXCETO MÃO)"
"30721148";"Fratura de osso do carpo - redução cirúrgica";"1";"408020466";"TRATAMENTO CIRÚRGICO DE FRATURAS DOS OSSOS DO CARPO"
"30721180";"Fraturas e/ou luxações do punho - redução incruenta";"1";"408020245";"REDUÇÃO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXACAO NO PUNHO"
"30721199";"Fraturas e/ou luxações do punho - tratamento cirúrgico";"1";"408020512";"TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO CARPO-METACARPIANA"
"30721253";"Transposição do rádio para ulna";"2";"408020318";"TRANSPOSIÇÃO DA ULNA PARA O RÁDIO"
"30722241";"Coto de amputação digital - revisão";"2";"408060425";"REVISÃO CIRÚRGICA DE COTO DE AMPUTAÇÃO DOS DEDOS"
"30722454";"Gigantismo ao nível da mão - tratamento cirúrgico";"1";"408020474";"TRATAMENTO CIRÚRGICO DE GIGANTISMO DA MÃO"
"30722527";"Osteossíntese de fratura de falange e metacarpeana com fixação externa";"2";"408020342";"TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO)"
"30722543";"Perda de substância da mão (reparação) - tratamento cirúrgico";"2";"413040240";"TRATAMENTO CIRURGICO P/ REPARACOES DE PERDA DE SUBSTANCIA DA MAO"
"30722578";"Polidactilia articulada - tratamento cirúrgico";"1";"408060662";"TRATAMENTO CIRÚRGICO DE POLIDACTILIA ARTICULADA"
"30722586";"Polidactilia não articulada - tratamento cirúrgico";"1";"408060654";"TRATAMENTO CIRÚRGICO DE POLIDACTILIA NÃO ARTICULADA"
"30722713";"Ressecção de cisto sinovial";"1";"408060212";"RESSECÇÃO DE CISTO SINOVIAL"
"30722799";"Sindactilia de 2 dígitos - tratamento cirúrgico";"2";"408060700";"TRATAMENTO CIRÚRGICO DE SINDACTILIA SIMPLES (DOIS DEDOS)"
"30722918";"Rotura do aparelho extensor do dedo - tratamento cirúrgico";"1";"408060689";"TRATAMENTO CIRÚRGICO DE RUTURA DO APARELHO EXTENSOR DO DEDO"
"30723027";"Desarticulação interílio abdominal - tratamento cirúrgico";"1";"408040114";"DESARTICULAÇÃO INTERÍLIO-ABDOMINAL"
"30723051";"Fraturas e/ou luxações do anel pélvico (com uma ou mais abordagens) - tratamento cirúrgico";"2";"408040254";"TRATAMENTO CIRÚRGICO DE ASSOCIAÇÃO FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO"
"30723108";"Fratura e/ou luxação de anel pélvico - tratamento conservador";"2";"303090197";"TRATAMENTO CONSERVADOR DE FRATURA DOS ANEIS PELVICOS"
"30724082";"Artroplastia parcial do quadril (tipo Thompson ou qualquer técnica) - tratamento cirúrgico";"2";"408040050";"ARTROPLASTIA PARCIAL DE QUADRIL"
"30724120";"Desarticulação coxo-femoral - tratamento cirúrgico";"1";"408040106";"DESARTICULAÇÃO COXOFEMORAL"
"30724139";"Epifisiodese com abaixamento do grande trocanter - tratamento cirúrgico";"2";"408040122";"EPIFISIODESE DO TROCANTER MAIOR DO FÊMUR"
"30724147";"Epifisiolistese proximal de fêmur (fixação ""in situ"") - tratamento cirúrgico";"2";"408040130";"EPIFISIODESE FEMORAL PROXIMAL IN SITU"
"30724155";"Fratura de acetábulo (com uma ou mais abordagens) - tratamento cirúrgico";"2";"408040297";"TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO"
"30724210";"Luxação congênita de quadril (redução incruenta com ou sem tenotomia de adutores)";"2";"408040181";"REDUÇÃO INCRUENTA DE LUXAÇÃO CONGÊNITA COXOFEMORAL"
"30724260";"Reconstrução de quadril com fixador externo";"2";"408040165";"RECONSTRUÇÃO OSTEOPLASTICA DO QUADRIL"
"30724279";"Revisão de artroplastias de quadril com retirada de componentes e implante de prótese";"2";"408040076";"ARTROPLASTIA DE REVISÃO OU RECONSTRUÇÃO DO QUADRIL"
"30725070";"Descolamento epifisário (traumático ou não) - tratamento cirúrgico";"2";"408040122";"EPIFISIODESE DO TROCANTER MAIOR DO FÊMUR"
"30726034";"Artroplastia total de joelho com implantes - tratamento cirúrgico";"2";"408050063";"ARTROPLASTIA TOTAL PRIMARIA DO JOELHO"
"30726123";"Fraturas e/ou luxações ao nível do joelho - tratamento cirúrgico";"2";"408050683";"TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO AO NÍVEL DO JOELHO"
"30726239";"Realinhamentos do aparelho extensor - tratamento cirúrgico";"2";"408050128";"REALINHAMENTO DO MECANISMO EXTENSOR DO JOELHO"
"30726255";"Revisões de artroplastia total - tratamento cirúrgico";"2";"408050055";"ARTROPLASTIA TOTAL DE JOELHO - REVISAO / RECONSTRUCAO"
"30728126";"Fraturas e/ou luxações ao nível do tornozelo - tratamento cirúrgico";"2";"408050497";"TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO"
"30729092";"Correção de pé torto congênito com fixador externo";"2";"408050764";"TRATAMENTO CIRÚRGICO DE PÉ TORTO CONGÊNITO"
"30729238";"Pé torto congênito (um pé) - tratamento cirúrgico";"1";"408050764";"TRATAMENTO CIRÚRGICO DE PÉ TORTO CONGÊNITO"
"30729289";"Tratamento cirúrgico da sindactilia complexa e /ou múltipla";"2";"408060697";"TRATAMENTO CIRÚRGICO DE SINDACTILIA COMPLEXA (C/ FUSÃO ÓSSEA)"
"30729300";"Tratamento cirúrgico de gigantismo";"2";"408050640";"TRATAMENTO CIRÚRGICO DE GIGANTISMO DO PÉ"
"30729319";"Tratamento cirúrgico de linfedema ao nível do pé";"2";"413040160";"TRATAMENTO CIRURGICO DE ELEFANTIASE AO NIVEL DO PE"
"30730066";"Drenagem cirúrgica do psoas";"2";"408030470";"DRENAGEM CIRÚRGICA DO ILIOPSOAS"
"30730090";"Fasciotomias (descompressivas)";"1";"406020167";"FASCIOTOMIA P/ DESCOMPRESSAO"
"30730104";"Fasciotomias acima do punho";"2";"408020105";"FASCIOTOMIA DE MEMBROS SUPERIORES"
"30730112";"Miorrafias";"2";"408060450";"TENOMIORRAFIA"
"30731038";"Bursectomia - tratamento cirúrgico";"1";"408060085";"BURSECTOMIA"
"30731046";"Cisto sinovial - tratamento cirúrgico";"2";"408060212";"RESSECÇÃO DE CISTO SINOVIAL"
"30731089";"Tenodese";"1";"408060433";"TENODESE"
"30731119";"Tenoplastia / enxerto de tendão - tratamento cirúrgico";"2";"408060476";"TENOPLASTIA OU ENXERTO DE TENDÃO UNICO"
"30731143";"Tenorrafia no túnel osteofibroso - mais de 2 dígitos";"2";"408060484";"TENORRAFIA ÚNICA EM TÚNEL OSTEO-FIBROSO"
"30731224";"Transposição única de tendão";"2";"408060549";"TRANSPOSIÇÃO / TRANSFERÊNCIA MIOTENDINOSA ÚNICA"
"30732085";"Tumor ósseo (ressecção com substituição)";"1";"408060263";"RESSECÇÃO DE TUMOR ÓSSEO C/ SUBSTITUIÇÃO (ENDOPRÓTESE)"
"30732115";"Tumor ósseo (ressecção e enxerto)";"1";"408060271";"RESSECÇÃO DE TUMOR ÓSSEO E RECONSTRUÇÃO C/ ENXERTO"
"30735068";"Ruptura do manguito rotador - procedimento videoartroscópico de ombro";"2";"408010142";"REPARO DE ROTURA DO MANGUITO ROTADOR (INCLUI PROCEDIMENTOS DESCOMPRESSIVOS)"
"30737079";"Túnel do carpo - descompressão - procedimento videoartroscópico de punho e túnel do carpo";"2";"403020123";"TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO"
"30801010";"Colocação de órtese traqueal, traqueobrônquica ou brônquica, por via endoscópica (tubo de silicone ou metálico)";"2";"412010038";"COLOCAÇÃO DE PROTESE LARINGO-TRAQUEAL, TRAQUEAL, TRAQUEO-BRONQUICA, BRONQUICA POR VIA ENDOSCOPICA (INCLUI PROTESE)"
"30801028";"Colocação de prótese traqueal ou traqueobrônquica (qualquer via)";"2";"412010046";"COLOCACAO DE PROTESE LARINGO TRAQUEAL/ TRAQUEO-BRONQUICA (INCLUI PRÓTESE)"
"30801044";"Punção traqueal";"2";"412010062";"PUNCAO DE TRAQUEIA C/ ASPIRACAO"
"30801095";"Traqueostomia";"1";"404010377";"TRAQUEOSTOMIA"
"30801109";"Traqueostomia com colocação de órtese traqueal ou traqueobrônquica por via cervical";"1";"412010127";"TRAQUEOSTOMIA COM COLOCAÇÃO DE ORTESE TRAQUEAL OU TRAQUEOBRONQUICA"
"30801117";"Traqueostomia mediastinal";"1";"412020076";"TRAQUEOSTOMIA MEDIASTINAL"
"30802024";"Broncotomia e/ou broncorrafia";"1";"412010011";"BRONCOTOMIA E/OU BRONCORRAFIA"
"30802032";"Colocação de molde brônquico por toracotomia";"1";"412010020";"COLOCAÇÃO DE MOLDE BRONQUICO POR TORACOTOMIA"
"30803020";"Cirurgia redutora do volume pulmonar unilateral (qualquer técnica)";"1";"412050137";"CIRURGIA REDUTORA DO VOLUME PULMONAR (QUALQUER METODO)"
"30803055";"Drenagem tubular aberta de cavidade pulmonar";"2";"412030101";"DRENAGEM TUBULAR PLEURAL ABERTA (PLEUROSTOMIA) "
"30803080";"Lobectomia pulmonar";"1";"412050048";"LOBECTOMIA PULMONAR"
"30803101";"Pneumonectomia";"1";"412050064";"PNEUMOMECTOMIA"
"30803110";"Pneumonectomia de totalização";"1";"412050072";"PNEUMONECTOMIA DE TOTALIZACAO"
"30803128";"Pneumorrafia";"1";"412050080";"PNEUMORRAFIA"
"30803152";"Segmentectomia (qualquer técnica)";"2";"416110061";"SEGMENTECTOMIA PULMONAR EM ONCOLOGIA"
"30803160";"Tromboendarterectomia pulmonar";"1";"412050153";"TROMBOENDARTERECTOMIA PULMONAR"
"30803241";"Biópsia transcutânea de pulmão por agulha";"2";"201010429";"BIOPSIA DE PULMAO POR ASPIRACAO"
"30804027";"Descorticação pulmonar";"1";"412030012";"DESCORTICAÇÃO PULMONAR"
"30804035";"Pleurectomia";"1";"412030055";"PLEURECTOMIA"
"30804043";"Pleurodese (qualquer técnica)";"1";"412030110";"PLEURODESE"
"30804060";"Pleurostomia (aberta)";"1";"412030098";"PLEUROSTOMIA"
"30804094";"Repleção de cavidade pleural com solução de antibiótico para tratamento de empiema";"2";"412030071";"REPLEÇÃO DE CAVIDADE PLEURAL COM SOLUÇÃO PARA TRATAMENTO DE EMPIEMA CRONICO"
"30804116";"Retirada de dreno tubular torácico (colocado em outro serviço)";"2";"412030128";"RETIRADA DE DRENO TUBULAR TORACICO"
"30804132";"Toracostomia com drenagem pleural fechada";"1";"412040166";"TORACOSTOMIA COM DRENAGEM PLEURAL FECHADA"
"30805015";"Ressecção de bócio intratorácico";"2";"402010019";"EXTIRPACAO DE BOCIO INTRATORACICO POR VIA TRANSESTERNAL"
"30805023";"Biópsia de linfonodos pré-escalênicos ou do confluente venoso";"2";"201010550";"BIOPSIA PRE-ESCALENICA"
"30805074";"Ligadura de artérias brônquicas por toracotomia para controle de hemoptise";"1";"412050030";"LIGADURA DE ARTÉRIAS BRONQUICAS POR TORACOTOMIA PARA CONTROLE DE HEMOPTISE"
"30805082";"Ligadura de ducto-torácico (qualquer via)";"1";"412040042";"LIGADURA DO DUCTO TORACICO (QUALQUER METODO)"
"30805090";"Linfadenectomia mediastinal";"1";"406020183";"LINFADENECTOMIA MEDIASTINAL"
"30805120";"Mediastinotomia extrapleural por via posterior";"1";"412020025";"MEDIASTINOTOMIA EXTRAPLEURAL POR VIA POSTERIOR"
"30805147";"Ressecção de tumor de mediastino";"1";"412020050";"RESSECÇÃO DE TUMOR DO MEDIASTINO"
"30805155";"Timectomia (qualquer via)";"1";"412020068";"TIMECTOMIA"
"30805163";"Tratamento da mediastinite (qualquer via)";"1";"412020084";"TRATAMENTO DE MEDIASTINITE (QUALQUER VIA)"
"30805171";"Vagotomia troncular terapêutica por toracotomia";"1";"412040220";"VAGOTOMIA TRONCULAR TERAPEUTICA POR TORACOTOMIA"
"30806011";"Abscesso subfrênico - tratamento cirúrgico";"2";"407040021";"DRENAGEM DE ABSCESSO SUBFRENICO"
"30901022";"Canal arterial persistente - correção cirúrgica";"1";"406010404";"CORRECAO DE PERSISTENCIA DO CANAL ARTERIAL"
"30901030";"Coarctação da aorta - correção cirúrgica";"1";"406010188";"CORRECAO DE COARCTACAO DA AORTA"
"30901049";"Confecção de bandagem da artéria pulmonar";"1";"406010099";"BANDAGEM DA ARTERIA PULMONAR"
"30901057";"Correção cirúrgica da comunicação interatrial";"2";"406010536";"FECHAMENTO DE COMUNICACAO INTERATRIAL"
"30901065";"Correção cirúrgica da comunicação interventricular";"1";"406010196";"CORRECAO DE COMUNICACAO INTER-VENTRICULAR"
"30901065";"Correção cirúrgica da comunicação interventricular";"2";"406010544";"FECHAMENTO DE COMUNICACAO INTERVENTRICULAR"
"30902045";"Plastia valvar";"1";"406010803";"PLASTICA VALVAR"
"30902053";"Troca valvar";"2";"406010692";"IMPLANTE DE PROTESE VALVAR"
"30904080";"Instalação de marca-passo epimiocárdio temporário";"2";"406010684";"IMPLANTE DE MARCAPASSO TEMPORARIO TRANSVENOSO"
"30904099";"Implante de marca-passo temporário à beira do leito";"2";"406010684";"IMPLANTE DE MARCAPASSO TEMPORARIO TRANSVENOSO"
"30904110";"Retirada do sistema (não aplicável na troca do gerador)";"2";"406010919";"RETIRADA DE SISTEMA DE ESTIMULACAO CARDIACA ARTIFICIAL"
"30905010";"Colocação de balão intra-aórtico";"1";"406010129";"COLOCACAO DE BALAO INTRA-AORTICO"
"30906016";"Aneurisma de aorta abdominal infra-renal";"2";"406020043";"ANEURISMECTOMIA DE AORTA ABDOMINAL INFRA-RENAL"
"30906024";"Aneurisma de aorta abdominal supra-renal";"2";"406020051";"ANEURISMECTOMIA TORACO-ABDOMINAL"
"30906040";"Aneurisma de artérias viscerais";"2";"406020485";"TRATAMENTO CIRURGICO DE ANEURISMAS DAS ARTERIAS VISCERAIS"
"30906202";"Endarterectomia ilíaco-femoral";"2";"406020388";"PONTE-TROMBOENDARTERECTOMIA ILIACO-FEMURAL"
"30906261";"Ponte axilo-bifemoral";"1";"406020310";"PONTE AXILO-BIFEMURAL"
"30906270";"Ponte axilo-femoral";"1";"406020329";"PONTE AXILO-FEMURAL"
"30906296";"Ponte fêmoro poplítea proximal";"2";"406020450";"REVASCULARIZACAO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLITEA PROXIMAL"
"30906300";"Ponte fêmoro-femoral cruzada";"1";"406020345";"PONTE FEMORO-FEMURAL CRUZADA"
"30906326";"Ponte subclávio bifemoral";"2";"406020310";"PONTE AXILO-BIFEMURAL"
"30906334";"Ponte subclávio femoral";"2";"406020329";"PONTE AXILO-FEMURAL"
"30906407";"Retirada de enxerto infectado em posição não aórtica";"2";"406020400";"RETIRADA DE PROTESE INFECTADA EM POSICAO NAO AORTICA"
"30906415";"Revascularização aorto-femoral - unilateral";"2";"406020353";"PONTE-TROMBOENDARTERECTOMIA AORTO-FEMURAL"
"30907080";"Implante de filtro de veia cava";"2";"406040141";"COLOCACAO PERCUTANEA DE FILTRO DE VEIA CAVA (NA TROMBOSE VENOSA PERIFERICA E EMBOLIA PULMONAR)"
"30907110";"Trombectomia venosa";"1";"406020590";"TROMBECTOMIA DO SISTEMA VENOSO"
"30907136";"Varizes - tratamento cirúrgico de dois membros";"2";"406020566";"TRATAMENTO CIRURGICO DE VARIZES (BILATERAL)"
"30907144";"Varizes - tratamento cirúrgico de um membro";"1";"406020574";"TRATAMENTO CIRURGICO DE VARIZES (UNILATERAL)"
"30908027";"Fístula arteriovenosa - com enxerto";"2";"418010021";"CONFECCAO DE FISTULA ARTERIO-VENOSA C/ ENXERTO AUTOLOGO"
"30908078";"Fístula arteriovenosa direta";"2";"406020086";"CONFECCAO DE FISTULA ARTERIOVENOSA P/ ACESSO"
"30909023";"Hemodiálise contínua (12h)";"1";"305010042";"HEMODIALISE CONTINUA"
"30910137";"Lesões vasculares intra-abdominais";"2";"406020540";"TRATAMENTO CIRURGICO DE LESOES VASCULARES TRAUMATICAS DO ABDOMEN"
"30912059";"Atriosseptostomia por balão";"2";"406030081";"ATRIOSEPTOSTOMIA C/ CATETER BALAO"
"30912199";"Recanalização mecânica do IAM (angioplastia primária com balão)";"2";"406030049";"ANGIOPLASTIA CORONARIANA PRIMÁRIA"
"30912210";"Retirada percutânea de corpos estranhos vasculares";"2";"406030103";"RETIRADA DE CORPO ESTRANHO DE SISTEMA CARDIOVASCULAR POR TECNICAS HEMODINAMICAS"
"30912237";"Tratamento percutâneo do aneurisma/dissecção da aorta";"2";"406010137";"CORRECAO DE ANEURISMA / DISSECCAO DA AORTA TORACO-ABDOMINAL"
"30913128";"Retirada cirúrgica de cateter de longa permanência para NPP, QT ou para Hemodepuração";"2";"406020620";"RETIRADA DE CATETER DE LONGA PERMANÊNCIA SEMI OU TOTALMENTE  IMPLANTÁVEL"
"30913144";"Confecção de fístula AV para hemodiálise";"1";"418010030";"CONFECCAO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE"
"30914019";"Anastomose linfovenosa";"1";"406020027";"ANASTOMOSE LINFOVENOSA"
"30914060";"Linfadenectomia pélvica";"1";"406020191";"LINFADENECTOMIA PELVICA"
"30914078";"Linfadenectomia retroperitoneal";"1";"406020280";"LINFADENECTOMIA RETROPERITONIAL"
"30914094";"Linfedema - ressecção total";"2";"406020558";"TRATAMENTO CIRURGICO DE LINFEDEMA"
"30914124";"Punção biópsia ganglionar";"2";"201010224";"BIOPSIA DE GANGLIO LINFATICO"
"30915031";"Pericardiocentese";"1";"406010773";"PERICARDIOCENTESE"
"30917042";"Retirada de tumores intracardíacos";"1";"406010900";"RESSECCAO DE TUMOR INTRACARDIACO"
"31001041";"Esofagectomia distal com toracotomia";"1";"407010033";"ESOFAGECTOMIA DISTAL C/ TORACOTOMIA"
"31001050";"Esofagectomia distal sem toracotomia";"1";"407010041";"ESOFAGECTOMIA DISTAL S/ TORACOTOMIA"
"31001076";"Esofagoplastia (gastroplastia)";"1";"407010084";"ESOFAGOPLASTIA / GASTROPLASTIA"
"31001165";"Substituição esofágica - cólon ou tubo gástrico";"2";"407010068";"ESOFAGO-COLONPLASTIA"
"31001173";"Tratamento cirúrgico das varizes esofágicas";"1";"407010300";"TRATAMENTO CIRURGICO DE VARIZES ESOFAGICAS"
"31001181";"Tratamento cirúrgico conservador do megaesofago";"2";"407010335";"TRATAMETO CIRURGICO DE MEGAESOFAGO SEM RESSECCAO / CONSERVADOR"
"31001203";"Esofagorrafia cervical";"1";"407010092";"ESOFAGORRAFIA CERVICAL"
"31001211";"Esofagorrafia torácica";"1";"407010106";"ESOFAGORRAFIA TORACICA"
"31001220";"Esofagostomia";"1";"407010114";"ESOFAGOSTOMIA"
"31001262";"Refluxo gastroesofágico - tratamento cirúrgico (Hérnia de hiato)";"2";"407010297";"TRATAMENTO CIRURGICO DE REFLUXO GASTROESOFAGICO"
"31002129";"Gastrectomia total via abdominal";"2";"407010149";"GASTRECTOMIA TOTAL"
"31002137";"Gastroenteroanastomose";"1";"407010165";"GASTROENTEROANASTOMOSE"
"31002145";"Gastrorrafia";"1";"407010190";"GASTRORRAFIA"
"31002170";"Gastrotomia para qualquer finalidade";"2";"407010211";"GASTROSTOMIA"
"31002196";"Piloroplastia";"1";"407010238";"PILOROPLASTIA"
"31002250";"Vagotomia com operação de drenagem";"1";"407010343";"VAGOTOMIA C/ OPERACAO DE DRENAGEM"
"31002269";"Vagotomia gástrica proximal ou superseletiva com duodenoplastia (operação de drenagem)";"2";"407010343";"VAGOTOMIA C/ OPERACAO DE DRENAGEM"
"31002277";"Vagotomia superseletiva ou vagotomia gástrica proximal";"1";"407010351";"VAGOTOMIA SUPERSELETIVA / GASTRICA PROXIMAL"
"31002366";"Gastrotomia para retirada de CE ou lesão isolada por videolaparoscopia";"2";"407010220";"GASTROSTOMIA VIDEOLAPAROSCOPICA"
"31003010";"Amputação abdômino-perineal do reto (completa)";"1";"407020012";"AMPUTACAO COMPLETA ABDOMINO-PERINEAL DO RETO"
"31003028";"Amputação do reto por procidência";"1";"407020020";"AMPUTACAO POR PROCIDENCIA DE RETO"
"31003079";"Apendicectomia";"1";"407020039";"APENDICECTOMIA"
"31003206";"Colocação de sonda enteral";"2";"309010101";"PASSAGEM DE SONDA NASO ENTERICA (INCLUI MATERIAL)"
"31003249";"Distorção de volvo por laparotomia";"2";"407020365";"REDUCAO CIRURGICA DE VOLVO POR LAPAROTOMIA"
"31003290";"Entero-anastomose  (qualquer segmento)";"1";"407020187";"ENTEROANASTOMOSE (QUALQUER SEGMENTO)"
"31003311";"Enteropexia (qualquer segmento)";"1";"407020195";"ENTEROPEXIA (QUALQUER SEGMENTO)"
"31003320";"Enterotomia e/ou enterorrafia de qualquer segmento (por sutura ou ressecção)";"1";"407020209";"ENTEROTOMIA E/OU ENTERORRAFIA C/ SUTURA / RESSECCAO (QUALQUER SEGMENTO)"
"31003362";"Fecaloma - remoção manual";"1";"303070030";"REMOCAO MANUAL DE FECALOMA"
"31003389";"Fixação do reto por via abdominal";"2";"407020349";"PROCTOPEXIA ABDOMINAL POR PROCIDENCIA DO RETO"
"31003397";"Íleo meconial - tratamento cirúrgico";"1";"407020446";"TRATAMENTO CIRURGICO DE ILEO MECONIAL"
"31003451";"Má-rotação intestinal - tratamento cirúrgico";"1";"407020462";"TRATAMENTO CIRURGICO DE MA ROTACAO INTESTINAL"
"31003516";"Procidência do reto - redução manual";"1";"407020373";"REDUCAO MANUAL DE PROCIDENCIA DE RETO"
"31003532";"Proctocolectomia total com reservatório ileal";"1";"407020330";"PROCTOCOLECTOMIA TOTAL C/ RESERVATORIO ILEAL"
"31003559";"Retossigmoidectomia abdominal";"1";"407020403";"RETOSSIGMOIDECTOMIA ABDOMINAL"
"31003583";"Apendicectomia por videolaparoscopia";"1";"407020047";"APENDICECTOMIA VIDEOLAPAROSCOPICA"
"31004016";"Abscesso anorretal - drenagem";"1";"407020136";"DRENAGEM DE ABSCESSO ANU-RETAL"
"31004024";"Abscesso isquio-retal - drenagem";"1";"407020144";"DRENAGEM DE ABSCESSO ISQUIORRETAL"
"31004032";"Cerclagem anal";"1";"407020055";"CERCLAGEM DE ANUS"
"31004059";"Criptectomia (única ou múltipla)";"1";"407020110";"CRIPTECTOMIA UNICA / MULTIPLA"
"31004067";"Dilatação digital ou instrumental do ânus e/ou do reto";"1";"407020128";"DILATACAO DIGITAL / INSTRUMENTAL DO ANUS E/OU RETO"
"31004180";"Hemorróidas - ligadura elástica (por sessão)";"1";"407020314";"LIGADURA ELASTICA DE HEMORROIDAS (SESSAO)"
"31004199";"Hemorróidas - tratamento esclerosante (por sessão)";"1";"407020497";"TRATAMENTO ESCLEROSANTE DE HEMORROIDAS (POR SESSAO)"
"31004202";"Hemorroidectomia aberta ou fechada, com ou sem esfincterotomia, sem grampeador";"2";"407020284";"HEMORROIDECTOMIA"
"31004229";"Lesão anal - eletrocauterização";"2";"407020160";"ELETROCAUTERIZACAO DE LESAO TRANSPARIETAL DE ANUS"
"31004300";"Tratamento cirúrgico de retocele (colpoperineoplastia posterior)";"2";"409070068";"COLPOPERINEOPLASTIA POSTERIOR"
"31004326";"Prurido anal - tratamento cirúrgico";"1";"407020489";"TRATAMENTO CIRURGICO DE PRURIDO ANAL"
"31005020";"Alcoolização percutânea dirigida de tumor hepático";"2";"416040179";"ALCOOLIZAÇÃO PERCUTÂNEA DE CARCINOMA HEPÁTICO"
"31005063";"Biópsia hepática por laparotomia (até 3 fragmentos)";"2";"201010208";"BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO"
"31005144";"Colecistostomia";"1";"407030042";"COLECISTOSTOMIA"
"31005209";"Derivação porto sistêmica";"2";"406020035";"ANASTOMOSE PORTO-CAVA"
"31005241";"Drenagem biliar trans-hepática";"2";"407030115";"DRENAGEM BILIAR PERCUTANEA INTERNA"
"31005250";"Enucleação de metástases hepáticas";"2";"416040225";"METASTASECTOMIA HEPÁTICA EM ONCOLOGIA "
"31005276";"Hepatorrafia";"1";"407030140";"HEPATORRAFIA"
"31005284";"Hepatorrafia complexa com lesão de estruturas vasculares biliares";"1";"407030158";"HEPATORRAFIA COMPLEXA C/ LESAO DE ESTRUTURAS VASCULARES BILIARES"
"31005322";"Punção hepática para drenagem de abscessos";"2";"407030166";"HEPATOTOMIA E DRENAGEM DE ABSCESSO / CISTO"
"31005330";"Radioablação / termoablação de tumores hepáticos";"2";"416040187";"TRATAMENTO DE CARCINOMA HEPÁTICO POR RADIOFREQUÊNCIA "
"31005390";"Segmentectomia hepática";"2";"407030131";"HEPATECTOMIA PARCIAL"
"31006086";"Pancreato-enterostomia";"1";"407030212";"PANCREATO-ENTEROSTOMIA"
"31008020";"Diálise peritoneal ambulatorial contínua (CAPD) 9 dias - treinamento";"2";"305010182";"TREINAMENTO DE PACIENTE SUBMETIDO A DIALISE PERITONEAL - DPAC-DPA  (9 DIAS)"
"31008038";"Diálise peritoneal ambulatorial contínua (CAPD) por mês/paciente";"2";"305010166";"MANUTENCAO E ACOMPANHAMENTO DOMICILIAR DE PACIENTE SUBMETIDO A DPA /DPAC"
"31008070";"Instalação de cateter Tenckhoff";"2";"418010099";"IMPLANTE DE CATETER TIPO TENCKOFF OU SIMILAR P/DPI"
"31008097";"Retirada de cateter Tenckhoff";"2";"418020035";"RETIRADA DE CATETER TIPO TENCKHOFF / SIMILAR DE LONGA PERMANÊNCIA"
"31009042";"Cisto sacro-coccígeo - tratamento cirúrgico";"2";"401020088";"EXERESE DE CISTO SACRO-COCCIGEO"
"31009093";"Herniorrafia epigástrica";"2";"407040064";"HERNIOPLASTIA EPIGASTRICA"
"31009107";"Herniorrafia incisional";"2";"407040080";"HERNIOPLASTIA INCISIONAL"
"31009140";"Herniorrafia recidivante";"2";"407040110";"HERNIOPLASTIA RECIDIVANTE"
"31009158";"Herniorrafia sem ressecção intestinal encarcerada";"2";"407040145";"HERNIORRAFIA S/ RESSECCAO INTESTINAL (HERNIA ESTRANGULADA )"
"31009166";"Herniorrafia umbilical";"2";"407040129";"HERNIOPLASTIA UMBILICAL"
"31009247";"Paracentese abdominal";"1";"407040196";"PARACENTESE ABDOMINAL"
"31009263";"Reparação de outras hérnias (inclui herniorrafia muscular)";"1";"407040226";"REPARACAO DE OUTRAS HERNIAS"
"31009298";"Ressutura da parede abdominal (por deiscência total ou evisceração)";"1";"407040242";"RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO)"
"31009301";"Teratoma sacro-coccígeo - exérese";"2";"401020088";"EXERESE DE CISTO SACRO-COCCIGEO"
"31101011";"Abscesso renal ou peri-renal - drenagem cirúrgica";"2";"409010138";"DRENAGEM DE ABSCESSO RENAL / PERI-RENAL"
"31101038";"Adrenalectomia unilateral";"2";"402020022";"SUPRARRENALECTOMIA UNILATERAL"
"31101054";"Angioplastia renal unilateral transluminal";"2";"406040125";"ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS / RENAIS"
"31101089";"Cisto renal - escleroterapia percutânea - por cisto";"2";"409010421";"TRATAMENTO CIRURGICO DE CISTO DE RIM POR PUNCAO"
"31101127";"Lombotomia exploradora";"2";"409010197";"LOMBOTOMIA"
"31101186";"Nefrectomia radical unilateral";"2";"409010219";"NEFRECTOMIA TOTAL"
